name,phone_code,state_id
BOTUPORA,77,5
BREJOES,75,5
BREJOLANDIA,77,5
BROTAS DE MACAUBAS,77,5
BRUMADO,77,5
BUERAREMA,73,5
BURITIRAMA,77,5
CAATIBA,77,5
CABACEIRAS DO PARAGUACU,75,5
CACHOEIRA,75,5
CACULE,77,5
CAEM,74,5
CAETANOS,77,5
CAETITE,77,5
CAFARNAUM,74,5
CAIRU,75,5
CALDEIRAO GRANDE,74,5
CAMACAN,73,5
CAMACARI,71,5
CAMAMU,73,5
CAMPO ALEGRE DE LOURDES,74,5
CAMPO FORMOSO,74,5
CANAPOLIS,77,5
CANARANA,74,5
CANAVIEIRAS,73,5
CANDEAL,75,5
CANDEIAS,71,5
CANDIBA,77,5
CANDIDO SALES,77,5
CANSANCAO,75,5
CANUDOS,75,5
CAPELA DO ALTO ALEGRE,75,5
CAPIM GROSSO,74,5
CARAIBAS,77,5
CARAVELAS,73,5
CARDEAL DA SILVA,75,5
CARINHANHA,77,5
CASA NOVA,74,5
CASTRO ALVES,75,5
CATOLANDIA,77,5
CATU,71,5
CATURAMA,77,5
CENTRAL,74,5
CHORROCHO,75,5
CICERO DANTAS,75,5
CIPO,75,5
COARACI,73,5
COCOS,77,5
CONCEICAO DA FEIRA,75,5
CONCEICAO DO ALMEIDA,75,5
CONCEICAO DO COITE,75,5
CONCEICAO DO JACUIPE,75,5
CONDE,75,5
CONDEUBA,77,5
CONTENDAS DO SINCORA,77,5
CORACAO DE MARIA,75,5
CORDEIROS,77,5
CORIBE,77,5
CORONEL JOAO SA,75,5
CORRENTINA,77,5
COTEGIPE,77,5
CRAVOLANDIA,73,5
CRISOPOLIS,75,5
CRISTOPOLIS,77,5
CRUZ DAS ALMAS,75,5
CURACA,74,5
DARIO MEIRA,73,5
DIAS D'AVILA,71,5
DOM BASILIO,77,5
DOM MACEDO COSTA,75,5
ELISIO MEDRADO,75,5
ENCRUZILHADA,77,5
ENTRE RIOS,75,5
ERICO CARDOSO,77,5
ESPLANADA,75,5
EUCLIDES DA CUNHA,75,5
EUNAPOLIS,73,5
FATIMA,75,5
FEIRA DA MATA,77,5
FEIRA DE SANTANA,75,5
FILADELFIA,74,5
FIRMINO ALVES,73,5
FLORESTA AZUL,73,5
FORMOSA DO RIO PRETO,77,5
GANDU,73,5
GAVIAO,75,5
GENTIO DO OURO,74,5
GLORIA,75,5
GONGOGI,73,5
GOVERNADOR LOMANTO JUNIOR,73,5
GOVERNADOR MANGABEIRA,75,5
GUAJERU,77,5
GUANAMBI,77,5
GUARATINGA,73,5
HELIOPOLIS,75,5
IACU,75,5
IBIASSUCE,77,5
IBICARAI,73,5
IBICOARA,77,5
IBICUI,73,5
IBIPEBA,74,5
IBIPITANGA,77,5
IBIQUERA,75,5
IBIRAPITANGA,73,5
IBIRAPUA,73,5
IBIRATAIA,73,5
IBITIARA,77,5
IBITITA,74,5
IBOTIRAMA,77,5
ICHU,75,5
IGAPORA,77,5
IGRAPIUNA,73,5
IGUAI,73,5
ILHEUS,73,5
INHAMBUPE,75,5
IPECAETA,75,5
IPIAU,73,5
IPIRA,75,5
IPUPIARA,77,5
IRAJUBA,73,5
IRAMAIA,77,5
IRAQUARA,75,5
IRARA,75,5
IRECE,74,5
ITABELA,73,5
ITABERABA,75,5
ITABUNA,73,5
ITACARE,73,5
ITAETE,75,5
ITAGI,73,5
ITAGIBA,73,5
ITAGIMIRIM,73,5
ITAGUACU DA BAHIA,74,5
ITAJU DO COLONIA,73,5
ITAJUIPE,73,5
ITAMARAJU,73,5
ITAMARI,73,5
ITAMBE,77,5
ITANAGRA,75,5
ITANHEM,73,5
ITAPARICA,71,5
ITAPE,73,5
ITAPEBI,73,5
ITAPETINGA,77,5
ITAPICURU,75,5
ITAPITANGA,73,5
ITAQUARA,73,5
ITARANTIM,73,5
ITATIM,75,5
ITIRUCU,73,5
ITIUBA,74,5
ITORORO,73,5
ITUACU,77,5
ITUBERA,73,5
IUIU,77,5
JABORANDI,77,5
JACARACI,77,5
JACOBINA,74,5
JAGUAQUARA,73,5
JAGUARARI,74,5
JAGUARIPE,75,5
JANDAIRA,75,5
JEQUIE,73,5
JEREMOABO,75,5
JIQUIRICA,75,5
JITAUNA,73,5
JOAO DOURADO,74,5
JUAZEIRO,74,5
JUCURUCU,73,5
JUSSARA,74,5
JUSSARI,73,5
JUSSIAPE,77,5
LAFAIETE COUTINHO,73,5
LAGOA REAL,77,5
LAJE,75,5
LAJEDAO,73,5
LAJEDINHO,75,5
LAJEDO DO TABOCAL,73,5
LAMARAO,75,5
LAPAO,74,5
LAURO DE FREITAS,71,5
LENCOIS,75,5
LICINIO DE ALMEIDA,77,5
LIVRAMENTO DE NOSSA SENHORA,77,5
LUIS EDUARDO MAGALHAES,77,5
MACAJUBA,74,5
MACARANI,77,5
MACAUBAS,77,5
MACURURE,75,5
MADRE DE DEUS,71,5
MAETINGA,77,5
MAIQUINIQUE,77,5
MAIRI,74,5
MALHADA,77,5
MALHADA DE PEDRAS,77,5
MANOEL VITORINO,73,5
MANSIDAO,77,5
MARACAS,73,5
MARAGOGIPE,75,5
MARAU,73,5
MARCIONILIO SOUZA,75,5
MASCOTE,73,5
MATA DE SAO JOAO,71,5
MATINA,77,5
MEDEIROS NETO,73,5
MIGUEL CALMON,74,5
MILAGRES,75,5
MIRANGABA,74,5
MIRANTE,77,5
MONTE SANTO,75,5
MORPARA,77,5
MORRO DO CHAPEU,74,5
MORTUGABA,77,5
MUCUGE,75,5
MUCURI,73,5
MULUNGU DO MORRO,74,5
MUNDO NOVO,74,5
MUNIZ FERREIRA,75,5
MUQUEM DE SAO FRANCISCO,77,5
MURITIBA,75,5
MUTUIPE,75,5
NAZARE,75,5
NILO PECANHA,73,5
NORDESTINA,75,5
NOVA CANAA,73,5
NOVA FATIMA,75,5
NOVA IBIA,73,5
NOVA ITARANA,73,5
NOVA REDENCAO,75,5
NOVA SOURE,75,5
NOVA VICOSA,73,5
NOVO HORIZONTE,77,5
NOVO TRIUNFO,75,5
OLINDINA,75,5
OLIVEIRA DOS BREJINHOS,77,5
OURICANGAS,75,5
OUROLANDIA,74,5
PALMAS DE MONTE ALTO,77,5
PALMEIRAS,75,5
PARAMIRIM,77,5
PARATINGA,77,5
PARIPIRANGA,75,5
PAU BRASIL,73,5
PAULO AFONSO,75,5
PE DE SERRA,75,5
PEDRAO,75,5
PEDRO ALEXANDRE,75,5
PIATA,77,5
PILAO ARCADO,74,5
PINDAI,77,5
PINDOBACU,74,5
PINTADAS,75,5
PIRAI DO NORTE,73,5
PIRIPA,77,5
PIRITIBA,74,5
PLANALTINO,73,5
PLANALTO,77,5
POCOES,77,5
POJUCA,71,5
PONTO NOVO,74,5
PORTO SEGURO,73,5
POTIRAGUA,73,5
PRADO,73,5
PRESIDENTE DUTRA,74,5
PRESIDENTE JANIO QUADROS,77,5
PRESIDENTE TANCREDO NEVES,73,5
QUEIMADAS,75,5
QUIJINGUE,75,5
QUIXABEIRA,74,5
RAFAEL JAMBEIRO,75,5
REMANSO,74,5
RETIROLANDIA,75,5
RIACHAO DAS NEVES,77,5
RIACHAO DO JACUIPE,75,5
RIACHO DE SANTANA,77,5
RIBEIRA DO AMPARO,75,5
RIBEIRA DO POMBAL,75,5
RIBEIRAO DO LARGO,77,5
RIO DE CONTAS,77,5
RIO DO ANTONIO,77,5
RIO DO PIRES,77,5
RIO REAL,75,5
RODELAS,75,5
RUY BARBOSA,75,5
SALINAS DA MARGARIDA,75,5
SALVADOR,71,5
SANTA BARBARA,75,5
SANTA BRIGIDA,75,5
SANTA CRUZ CABRALIA,73,5
SANTA CRUZ DA VITORIA,73,5
SANTA INES,73,5
SANTA LUZIA,73,5
SANTA MARIA DA VITORIA,77,5
SANTA RITA DE CASSIA,77,5
SANTA TERESINHA,75,5
SANTALUZ,75,5
SANTANA,77,5
SANTANOPOLIS,75,5
SANTO AMARO,75,5
SANTO ANTONIO DE JESUS,75,5
SANTO ESTEVAO,75,5
SAO DESIDERIO,77,5
SAO DOMINGOS,75,5
SAO FELIPE,75,5
SAO FELIX,75,5
SAO FRANCISCO DO CONDE,71,5
SAO GABRIEL,74,5
SAO GONCALO DOS CAMPOS,75,5
SAO JOSE DA VITORIA,73,5
SAO JOSE DO JACUIPE,74,5
SAO MIGUEL DAS MATAS,75,5
SAO SEBASTIAO DO PASSE,71,5
SAPEACU,75,5
SATIRO DIAS,75,5
SAUBARA,75,5
SAUDE,74,5
SEABRA,75,5
SEBASTIAO LARANJEIRAS,77,5
SENHOR DO BONFIM,74,5
SENTO SE,74,5
SERRA DO RAMALHO,77,5
SERRA DOURADA,77,5
SERRA PRETA,75,5
SERRINHA,75,5
SERROLANDIA,74,5
SIMOES FILHO,71,5
SITIO DO MATO,77,5
SITIO DO QUINTO,75,5
SOBRADINHO,74,5
SOUTO SOARES,75,5
TABOCAS DO BREJO VELHO,77,5
TANHACU,77,5
TANQUE NOVO,77,5
TANQUINHO,75,5
TAPEROA,75,5
TAPIRAMUTA,74,5
TEIXEIRA DE FREITAS,73,5
TEODORO SAMPAIO,75,5
TEOFILANDIA,75,5
TEOLANDIA,73,5
TERRA NOVA,75,5
TREMEDAL,77,5
TUCANO,75,5
UAUA,74,5
UBAIRA,75,5
UBAITABA,73,5
UBATA,73,5
UIBAI,74,5
UMBURANAS,74,5
UNA,73,5
URANDI,77,5
URUCUCA,73,5
UTINGA,75,5
VALENCA,75,5
VALENTE,75,5
VARZEA DA ROCA,74,5
VARZEA DO POCO,74,5
VARZEA NOVA,74,5
VARZEDO,75,5
VERA CRUZ,71,5
VEREDA,73,5
VITORIA DA CONQUISTA,77,5
WAGNER,75,5
WANDERLEY,77,5
WENCESLAU GUIMARAES,73,5
XIQUE-XIQUE,74,5
ABAIARA,88,6
ACARAPE,85,6
ACARAU,88,6
ACOPIARA,88,6
AIUABA,88,6
ALCANTARAS,88,6
ALTANEIRA,88,6
ALTO SANTO,88,6
AMONTADA,88,6
ANTONINA DO NORTE,88,6
APUIARES,85,6
AQUIRAZ,85,6
ARACATI,88,6
ARACOIABA,85,6
ARARENDA,88,6
ARARIPE,88,6
ARATUBA,85,6
ARNEIROZ,88,6
ASSARE,88,6
AURORA,88,6
BAIXIO,88,6
BANABUIU,88,6
BARBALHA,88,6
BARREIRA,85,6
BARRO,88,6
BARROQUINHA,88,6
BATURITE,85,6
BEBERIBE,85,6
BELA CRUZ,88,6
BOA VIAGEM,88,6
BREJO SANTO,88,6
CAMOCIM,88,6
CAMPOS SALES,88,6
CANINDE,85,6
CAPISTRANO,85,6
CARIDADE,85,6
CARIRE,88,6
CARIRIACU,88,6
CARIUS,88,6
CARNAUBAL,88,6
CASCAVEL,85,6
CATARINA,88,6
CATUNDA,88,6
CAUCAIA,85,6
CEDRO,88,6
CHAVAL,88,6
CHORO,88,6
CHOROZINHO,85,6
COREAU,88,6
CRATEUS,88,6
CRATO,88,6
CROATA,88,6
CRUZ,88,6
DEPUTADO IRAPUAN PINHEIRO,88,6
ERERE,88,6
EUSEBIO,85,6
FARIAS BRITO,88,6
FORQUILHA,88,6
FORTALEZA,85,6
FORTIM,88,6
FRECHEIRINHA,88,6
GENERAL SAMPAIO,85,6
GRACA,88,6
GRANJA,88,6
GRANJEIRO,88,6
GROAIRAS,88,6
GUAIUBA,85,6
GUARACIABA DO NORTE,88,6
GUARAMIRANGA,85,6
HIDROLANDIA,88,6
HORIZONTE,85,6
IBARETAMA,88,6
IBIAPINA,88,6
IBICUITINGA,88,6
ICAPUI,88,6
ICO,88,6
IGUATU,88,6
INDEPENDENCIA,88,6
IPAPORANGA,88,6
IPAUMIRIM,88,6
IPU,88,6
IPUEIRAS,88,6
IRACEMA,88,6
IRAUCUBA,88,6
ITAICABA,88,6
ITAITINGA,85,6
ITAPAGE,85,6
ITAPIPOCA,88,6
ITAPIUNA,88,6
ITAREMA,88,6
ITATIRA,88,6
JAGUARETAMA,88,6
JAGUARIBARA,88,6
JAGUARIBE,88,6
JAGUARUANA,88,6
JARDIM,88,6
JATI,88,6
JIJOCA DE JERICOACOARA,88,6
JUAZEIRO DO NORTE,88,6
JUCAS,88,6
LAVRAS DA MANGABEIRA,88,6
LIMOEIRO DO NORTE,88,6
MADALENA,88,6
MARACANAU,85,6
MARANGUAPE,85,6
MARCO,88,6
MARTINOPOLE,88,6
